item	entity
2793	2793
1462	1462
2792	2792
1461	1461
2791	2791
1460	1460
2790	2790
1459	1459
2306	2306
2789	2789
1458	1458
2305	2305
2304	2304
1457	1457
2788	2788
2303	2303
2787	2787
1456	1456
2302	2302
2786	2786
1455	1455
1454	1454
2301	2301
2785	2785
2784	2784
2300	2300
1453	1453
1452	1452
2783	2783
2309	2309
2308	2308
2307	2307
2320	2320
1473	1473
1472	1472
1471	1471
1470	1470
2317	2317
1	1
1469	1469
2316	2316
2	2
2799	2799
1468	1468
2315	2315
2314	2314
1467	1467
2798	2798
3	3
2313	2313
2797	2797
4	4
1466	1466
5	5
1465	1465
2796	2796
2312	2312
6	6
1464	1464
2795	2795
2311	2311
2794	2794
7	7
2310	2310
1463	1463
8	8
9	9
2319	2319
2318	2318
2331	2331
1484	1484
1000	1000
1483	1483
2330	2330
1482	1482
1481	1481
1480	1480
2328	2328
2327	2327
1479	1479
2326	2326
1478	1478
2325	2325
1477	1477
2324	2324
2323	2323
1476	1476
2322	2322
1475	1475
2321	2321
1474	1474
2329	2329
1495	1495
1011	1011
2342	2342
1494	1494
1010	1010
2341	2341
2340	2340
1493	1493
1492	1492
1491	1491
1490	1490
1008	1008
2339	2339
1007	1007
2338	2338
1006	1006
2337	2337
2336	2336
1005	1005
1489	1489
1004	1004
1488	1488
2335	2335
1487	1487
1003	1003
2334	2334
2333	2333
1486	1486
1002	1002
2332	2332
1485	1485
1001	1001
1009	1009
1022	1022
2353	2353
1021	1021
2352	2352
2351	2351
1020	1020
2350	2350
1019	1019
1018	1018
2349	2349
2348	2348
1017	1017
2347	2347
1016	1016
1015	1015
2346	2346
1499	1499
1014	1014
1498	1498
2345	2345
1497	1497
2344	2344
1013	1013
1496	1496
2343	2343
1012	1012
2364	2364
1033	1033
1032	1032
2363	2363
2362	2362
1031	1031
2361	2361
1030	1030
2360	2360
1029	1029
1028	1028
2359	2359
2358	2358
1027	1027
1026	1026
2357	2357
1025	1025
2356	2356
600	600
1024	1024
2355	2355
601	601
2354	2354
1023	1023
602	602
603	603
604	604
605	605
606	606
607	607
608	608
609	609
2375	2375
1044	1044
2374	2374
1043	1043
1042	1042
2373	2373
1041	1041
2372	2372
1040	1040
2371	2371
2370	2370
1039	1039
2369	2369
1038	1038
2368	2368
1037	1037
1036	1036
610	610
2367	2367
1035	1035
611	611
2366	2366
1034	1034
612	612
2365	2365
613	613
614	614
615	615
616	616
617	617
